fl_method,p_value,stat,A,effect_size,effect_direction,p_value_corrected,significant_holm
dstar2,0.9999999999524447,15403.0,0.40600522193211486,NO POSITIVE EFFECT,fused >= baseline,1.0,False
jaccard,0.9999998542462473,17189.0,0.43733681462140994,NO POSITIVE EFFECT,fused >= baseline,1.0,False
LLMAO,0.05074848463437319,24550.0,0.5302631578947369,NEGLIGIBLE,baseline > fused,0.5582333309781051,False
MTL_transfer,0.9652511828648122,17340.0,0.44386422976501305,NO POSITIVE EFFECT,fused >= baseline,1.0,False
ochiai,0.9962741587726522,20421.5,0.47911227154047,NO POSITIVE EFFECT,fused >= baseline,1.0,False
opt2,0.8392667411914709,28501.5,0.4660574412532637,NO POSITIVE EFFECT,fused >= baseline,1.0,False
tarantula,0.8817690295414244,27648.5,0.4856396866840731,NO POSITIVE EFFECT,fused >= baseline,1.0,False
transfer,0.921365327011989,18148.0,0.45691906005221933,NO POSITIVE EFFECT,fused >= baseline,1.0,False
russell_rao,0.1714645410634008,37634.5,0.5639686684073107,SMALL,baseline > fused,1.0,False
CodeHealer,0.9844668099046173,16876.5,0.4516971279373368,NO POSITIVE EFFECT,fused >= baseline,1.0,False
XAI4FL,0.4050309370898478,8590.0,0.51953125,NEGLIGIBLE,baseline > fused,1.0,False
